ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
315,0.9970037667,0.9967469467,-0.00025682,0,0,0,0,0,0,0,
316,0.9956625956,0.9954913823,-0.0001712133,0,0,0,0,0,0,0,
317,0.9965186623,0.9959764867,-0.0005421756,0,0,0,0,0,0,0,
318,0.9895559868,0.9891850245,-0.0003709622,0,0,0,0,0,0,0,
319,0.99666134,0.9964615911,-0.0001997489,0,0,0,0,0,0,0,
320,0.9962333067,0.9958623445,-0.0003709622,0,0,0,0,0,0,0,
322,0.99563406,0.9954343112,-0.0001997489,0,0,0,0,0,0,0,
324,0.9505478827,0.9501198493,-0.0004280333,0,0,0,0,0,0,0,
325,0.9960620934,0.9957482023,-0.0003138911,0,0,0,0,0,0,0,
326,0.9965186623,0.9964330556,-8.56066659057353E-05,0,0,0,0,0,0,0,
327,0.9947209223,0.9946353156,-8.56066659057353E-05,0,0,0,0,0,0,0,
328,0.987358749,0.9868736446,-0.0004851044,0,0,0,0,0,0,0,
332,0.9949206712,0.9947494578,-0.0001712133,0,0,0,0,0,0,0,
333,0.9906118023,0.9904120534,-0.0001997489,0,0,0,0,0,0,0,
335,0.9748316402,0.9746318913,-0.0001997489,0,0,0,0,0,0,0,
336,0.9904691245,0.9900696268,-0.0003994978,0,0,0,0,0,0,0,
337,0.9953487045,0.9950633489,-0.0002853556,0,0,0,0,0,0,0,
338,0.9947209223,0.9942643534,-0.0004565689,0,0,0,0,0,0,0,
339,0.9831640224,0.9825077046,-0.0006563178,0,0,0,0,0,0,0,
342,0.9846478712,0.9841342313,-0.00051364,0,0,0,0,0,0,0,
343,0.9963474489,0.9960335578,-0.0003138911,0,0,0,0,0,0,0,
344,0.987358749,0.9870163223,-0.0003424267,0,0,0,0,0,0,0,
345,0.973690218,0.9732336491,-0.0004565689,0,0,0,0,0,0,0,
346,0.99640452,0.9962618423,-0.0001426778,0,0,0,0,0,0,0,
347,0.9820796713,0.9815945668,-0.0004851044,0,0,0,0,0,0,0,
348,0.9893277023,0.988899669,-0.0004280333,0,0,0,0,0,0,0,
352,0.9951489556,0.9948065289,-0.0003424267,0,0,0,0,0,0,0,
353,0.984533729,0.9843054446,-0.0002282844,0,0,0,0,0,0,0,
354,0.9710078758,0.9708366625,-0.0001712133,0,0,0,0,0,0,0,
356,0.9723775825,0.9716641936,-0.0007133889,0,0,0,0,0,0,0,
357,0.99691816,0.99640452,-0.00051364,0,0,0,0,0,0,0,
358,0.9948921356,0.9946923867,-0.0001997489,0,0,0,0,0,0,0,
359,0.9967184111,0.9965471978,-0.0001712133,0,0,0,0,0,0,0,
361,0.9934653578,0.9929802534,-0.0004851044,0,0,0,0,0,0,0,
362,0.9906688734,0.9898984134,-0.00077046,0,0,0,0,0,0,0,
363,0.9915820112,0.9911539779,-0.0004280333,0,0,0,0,0,0,0,
364,0.9939504623,0.9938648556,-8.56066659057353E-05,0,0,0,0,0,0,0,
365,0.9937507134,0.9934938934,-0.00025682,0,0,0,0,0,0,0,
366,0.9967469467,0.9964901267,-0.00025682,0,0,0,0,0,0,0,
368,0.99512042,0.9950062778,-0.0001141422,0,0,0,0,0,0,0,
369,0.9916105467,0.9910398356,-0.0005707111,0,0,0,0,0,0,0,
370,0.9820796713,0.9817657802,-0.0003138911,0,0,0,0,0,0,0,
372,0.9909827645,0.9907830156,-0.0001997489,0,0,0,0,0,0,0,
373,0.9955484534,0.9953201689,-0.0002282844,0,0,0,0,0,0,0,
374,0.9699520603,0.9691816003,-0.00077046,0,0,0,0,0,0,0,
375,0.9974603356,0.9970037667,-0.0004565689,0,0,0,0,0,0,0,
376,0.9953487045,0.9952060267,-0.0001426778,0,0,0,0,0,0,0,
377,0.9803104668,0.9799109691,-0.0003994978,0,0,0,0,0,0,0,
378,0.9948065289,0.9945211734,-0.0002853556,0,0,0,0,0,0,0,
379,0.9532587604,0.953030476,-0.0002282844,0,0,0,0,0,0,0,
380,0.9766293802,0.9761442758,-0.0004851044,0,0,0,0,0,0,0,
382,0.9943499601,0.9937792489,-0.0005707111,0,0,0,0,0,0,0,
